Name,Version,Architecture,Description
libcurl3:amd64,7.47.0-1ubuntu2.8,amd64,easy-to-use client-side URL transfer library (OpenSSL flavour)
libcurl3-gnutls:amd64,7.47.0-1ubuntu2.8,amd64,easy-to-use client-side URL transfer library (GnuTLS flavour)
libdaemon0:amd64,0.14-6,amd64,lightweight C library for daemons - runtime library
libdata-alias-perl,1.20-1build1,amd64,module to create aliases instead of copies
libdatrie1:amd64,0.2.10-2,amd64,Double-array trie library
libdb5.3:amd64,5.3.28-11ubuntu0.1,amd64,Berkeley v5.3 Database Libraries [runtime]
libdbus-1-3:amd64,1.10.6-1ubuntu3.3,amd64,simple interprocess messaging system (library)
libdbus-glib-1-2:amd64,0.106-1,amd64,simple interprocess messaging system (GLib-based shared library)
libdbusmenu-glib4:amd64,16.04.1+16.04.20160927-0ubuntu1,amd64,library for passing menus over DBus
libdbusmenu-gtk3-4:amd64,16.04.1+16.04.20160927-0ubuntu1,amd64,library for passing menus over DBus - GTK+ version
libdbusmenu-gtk4:amd64,16.04.1+16.04.20160927-0ubuntu1,amd64,library for passing menus over DBus - GTK+ version
libdbusmenu-qt2:amd64,0.9.3+16.04.20160218-0ubuntu1,amd64,Qt implementation of the DBusMenu protocol
libdbusmenu-qt5:amd64,0.9.3+16.04.20160218-0ubuntu1,amd64,Qt5 implementation of the DBusMenu protocol
libdconf1:amd64,0.24.0-2,amd64,simple configuration storage system - runtime library
libdebconfclient0:amd64,0.198ubuntu1,amd64,Debian Configuration Management System (C-implementation library)
libdecoration0:amd64,1:0.9.12.3+16.04.20180221-0ubuntu1,amd64,Compiz window decoration library
libdee-1.0-4:amd64,1.2.7+15.04.20150304-0ubuntu2,amd64,model to synchronize multiple instances over DBus - shared lib
libdevmapper1.02.1:amd64,2:1.02.110-1ubuntu10,amd64,Linux Kernel Device Mapper userspace library
libdfu1:amd64,0.8.3-0ubuntu3,amd64,Firmware update daemon library for DFU support
libdigest-hmac-perl,1.03+dfsg-1,all,module for creating standard message integrity checks
libdjvulibre-text,3.5.27.1-5,all,Linguistic support files for libdjvulibre
libdjvulibre21:amd64,3.5.27.1-5,amd64,Runtime support for the DjVu image format
libdmapsharing-3.0-2:amd64,2.9.34-1,amd64,DMAP client and server library - runtime
libdns-export162,1:9.10.3.dfsg.P4-8ubuntu1.10,amd64,Exported DNS Shared Library
libdns162:amd64,1:9.10.3.dfsg.P4-8ubuntu1.10,amd64,DNS Shared Library used by BIND
libdotconf0:amd64,1.3-0.2,amd64,Configuration file parser library - runtime files
libdouble-conversion1v5:amd64,2.0.1-3ubuntu2,amd64,routines to convert IEEE floats to and from strings
libdpkg-perl,1.18.4ubuntu1.4,all,Dpkg perl modules
